id,name_he,name_en,name_ru,desc_he,desc_en,desc_ru,price,original_price,image,category,type,platform,link,condition,badge,active
1,AirPods Pro 2,AirPods Pro 2,AirPods Pro 2,אוזניות אפל מקוריות עם ביטול רעשים מתקדם,Apple AirPods Pro 2 with Active Noise Cancellation,Apple AirPods Pro 2 с активным шумоподавлением,599,799,https://images.unsplash.com/photo-1603351154351-5e2d0600bb77?w=400&q=80,tech,affiliate,amazon,https://amazon.com,,hot,TRUE
2,שעון חכם Xiaomi Band 8,Xiaomi Band 8 Smart Watch,Умный браслет Xiaomi Band 8,צמיד כושר חכם עם מסך AMOLED ועד 16 יום סוללה,Smart fitness band with AMOLED display and 16-day battery,Фитнес-браслет с AMOLED дисплеем и 16 днями работы,89,199,https://images.unsplash.com/photo-1557935728-e6d1eaabe558?w=400&q=80,tech,affiliate,aliexpress,https://aliexpress.com,,sale,TRUE
3,רצועת LED RGB 10 מטר,RGB LED Strip 10m,RGB LED лента 10м,תאורת אווירה צבעונית עם שלט ואפליקציה,Colorful ambient lighting with remote and app control,Цветное освещение с пультом и приложением,39,89,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400&q=80,home,affiliate,aliexpress,https://aliexpress.com,,sale,TRUE
4,נעלי ספורט Nike Air,Nike Air Sport Shoes,Кроссовки Nike Air,נעלי ריצה קלות עם בליעת זעזועים מתקדמת,Lightweight running shoes with advanced cushioning,Лёгкие кроссовки для бега с улучшенной амортизацией,249,399,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&q=80,sport,affiliate,amazon,https://amazon.com,,hot,TRUE
5,מקלדת מכנית Keychron K2,Keychron K2 Mechanical Keyboard,Механическая клавиатура Keychron K2,מקלדת מכנית אלחוטית עם תאורת RGB,Wireless mechanical keyboard with RGB backlight,Беспроводная механическая клавиатура с RGB подсветкой,349,499,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=400&q=80,tech,affiliate,amazon,https://amazon.com,,,TRUE
6,כוס תרמוס 500ml,Thermos Cup 500ml,Термос 500мл,שומרת חם/קר 12 שעות - נירוסטה - ידידותית לסביבה,Keeps hot/cold 12 hours - stainless steel - eco-friendly,Сохраняет тепло/холод 12 часов - нержавеющая сталь,29,59,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=400&q=80,home,affiliate,aliexpress,https://aliexpress.com,,,TRUE
7,אוזניות Sony WH-1000XM4,Sony WH-1000XM4 Headphones,Наушники Sony WH-1000XM4,אוזניות Sony פרמיום עם ביטול רעשים — הטובות בקטגוריה,Sony premium headphones with noise cancellation — best in class,Премиум наушники Sony с шумоподавлением — лучшие в классе,799,1299,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&q=80,tech,affiliate,amazon,https://amazon.com,,hot,TRUE
8,מתקן יציבה חכם,Smart Posture Corrector,Умный корректор осанки,חיישן חכם שמזהה יציבה לא נכונה ומתריע ברטט — קטן וקל,Smart sensor detects bad posture and vibrates to alert — small and lightweight,Умный датчик определяет неправильную осанку и вибрирует — маленький и лёгкий,89,149,https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=400&q=80,health,affiliate,aliexpress,https://s.click.aliexpress.com/e/_c3wYbR3H,,hot,TRUE
9,iPad Air דור 5 — יד שנייה,iPad Air 5th Gen — Used,iPad Air 5-е поколение — Б/У,iPad Air 5 במצב מצוין עם כיסוי. עובד כמו חדש!,iPad Air 5 in excellent condition with cover. Works like new!,iPad Air 5 в отличном состоянии с чехлом. Работает как новый!,900,,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=400&q=80,tech,secondhand,,,כמו חדש,,TRUE
10,גיטרה אקוסטית Yamaha,Yamaha Acoustic Guitar,Акустическая гитара Yamaha,גיטרה אקוסטית יפה במצב טוב — מגיעה עם תיק,Beautiful acoustic guitar in good condition — comes with bag,Красивая акустическая гитара в хорошем состоянии — с чехлом,350,,https://images.unsplash.com/photo-1510915361894-db8b60106cb1?w=400&q=80,other,secondhand,,,טוב,,TRUE
11,LEGO Creator 3-in-1,LEGO Creator 3-in-1,LEGO Creator 3-в-1,סט לגו שלם עם הוראות — לא חסר אף חלק,Complete LEGO set with instructions — no missing pieces,Полный набор LEGO с инструкциями — все детали на месте,120,,https://images.unsplash.com/photo-1585366119957-e9730b6d0f60?w=400&q=80,kids,secondhand,,,כמו חדש,,TRUE
12,קורקינט חשמלי Xiaomi,Xiaomi Electric Scooter,Электросамокат Xiaomi,Xiaomi Mi Pro 2 — עובד מצוין — מספר שריטות קלות,Xiaomi Mi Pro 2 — works great — minor scratches,Xiaomi Mi Pro 2 — отличная работа — небольшие царапины,1200,,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400&q=80,sport,secondhand,,,טוב,,TRUE
13,ספרי תכנות Python + JavaScript,Python + JavaScript Books,Книги Python + JavaScript,שלושה ספרי תכנות בעברית — כמעט ולא השתמשתי,Three programming books in Hebrew — barely used,Три книги по программированию на иврите — почти не использовались,80,,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=400&q=80,books,secondhand,,,טוב,,TRUE
